id,sales_volume,rating
1,4986,2.9
2,5800,4.4
3,2446,1.5
4,945,3.3
5,1912,4.6
6,7572,4.1
7,5630,3.4
8,6096,2.8
9,6310,5.0
10,5964,2.8
11,782,2.7
12,1175,2.1
13,7990,3.5
14,9714,4.9
15,1348,2.2
16,9571,3.7
17,7818,4.2
18,4,1.4
19,6284,1.8
20,1036,2.5
21,5768,1.3
22,5995,1.5
23,1108,4.5
24,6555,3.4
25,8876,3.2
26,7646,1.7
27,5829,2.6
28,4943,2.7
29,4409,1.0
30,1827,2.3
31,5066,3.6
32,7008,1.4
33,993,1.2
34,8374,1.7
35,4413,2.6
36,332,5.0
37,2499,4.4
38,5749,2.7
39,2687,2.2
40,1786,3.3
41,7012,3.2
42,5879,3.9
43,1767,1.5
44,8601,4.8
45,1008,4.3
46,6662,3.7
47,9940,1.9
48,7004,1.5
49,5783,4.5
50,2741,3.7
51,1131,4.8
52,3932,1.8
53,1380,3.5
54,3360,1.8
55,5330,3.2
56,7698,3.3
57,8319,3.2
58,8589,3.8
59,1777,2.4
60,7301,3.9
61,1550,3.4
62,4634,3.5
63,200,1.4
64,562,1.4
65,1335,3.5
66,6936,2.2
67,3691,1.7
68,9729,2.7
69,9251,1.4
70,4039,2.7
71,138,2.8
72,2176,4.5
73,18,2.6
74,7963,2.1
75,4017,3.1
76,5867,4.0
77,7369,5.0
78,7652,3.2
79,9823,2.1
80,5875,4.2
81,2688,4.0
82,5368,1.6
83,3234,2.4
84,4523,2.8
85,6171,1.5
86,1889,1.5
87,8136,2.0
88,7970,3.8
89,2136,2.2
90,7933,3.7
91,5911,2.8
92,1626,1.0
93,7804,3.5
94,2105,3.5
95,8492,2.8
96,9667,4.2
97,8556,4.5
98,9749,3.3
99,4769,2.1
100,7283,4.0
101,2888,3.5
102,952,1.5
103,8923,4.6
104,6880,2.5
105,7215,4.0
106,8923,2.3
107,4256,3.1
108,7386,4.4
109,37,4.0
110,3117,3.9
111,873,2.2
112,761,3.0
113,9492,3.4
114,3600,2.8
115,8172,4.3
116,8817,1.8
117,4197,3.3
118,9386,4.2
119,6804,3.7
120,6012,3.2
121,3955,2.7
122,3586,3.7
123,2663,3.5
124,9751,3.9
125,8599,4.9
126,4616,1.0
127,9786,2.2
128,9670,1.7
129,7932,1.6
130,8467,2.5
131,5041,1.1
132,2793,2.6
133,9646,3.4
134,3885,4.6
135,4348,3.0
136,9340,3.4
137,3186,2.8
138,1259,1.6
139,23,4.8
140,9417,1.0
141,2128,3.0
142,6323,3.2
143,4122,3.0
144,2814,2.1
145,144,3.3
146,9186,3.0
147,9109,3.9
148,8447,3.1
149,889,4.1
150,4072,2.0
151,7246,2.4
152,346,1.4
153,6698,1.9
154,9238,1.8
155,2396,4.5
156,8907,2.4
157,5689,1.0
158,9028,4.7
159,8671,2.0
160,5703,2.8
161,4386,1.8
162,3185,3.7
163,9226,2.2
164,2966,4.9
165,2670,2.6
166,8690,4.2
167,9418,1.6
168,5350,4.1
169,8404,4.2
170,5655,4.1
171,773,3.2
172,1364,1.8
173,6225,3.5
174,8625,1.6
175,8213,4.8
176,2944,2.3
177,2313,2.1
178,5086,2.7
179,4648,2.9
180,9943,3.9
181,6810,2.2
182,9501,3.0
183,8982,3.4
184,3140,3.1
185,7908,1.2
186,1587,4.7
187,4459,2.2
188,2918,1.9
189,9022,4.2
190,9215,3.1
191,4665,4.4
192,8817,2.8
193,2585,1.9
194,9652,3.0
195,1367,1.4
196,7934,4.8
197,6858,2.7
198,5213,4.2
199,5734,1.1
200,4483,3.5
